id,txn,s1,s1_days,s2,s2_days,f1,f1_Dur,f2,f2_values,f3,f4,f5,f6,gender,DOB
726,1,89,27,88,27,NULL,NULL,19,10325,4,1,1,41,male,1987-11-19
727,1,61,22,57,22,5,11,27,4333,0,14,7,5,male,1984-07-14
728,3,49,9,49,9,NULL,NULL,9,3087,4,4,1,4,male,1989-07-02
729,5,29,10,29,10,1,31,18,2045,85,2,49,22,male,2006-05-06
730,2,122,26,120,26,34,284,28,8679,0,106,118,33,male,1992-12-11
731,1,92,11,77,11,NULL,NULL,22,3119,10,1,1,4,male,1994-07-12
732,10,89,19,89,19,53,81,29,975,199,41,40,57,male,1961-01-15
733,3,53,15,53,15,NULL,NULL,10,94,1,0,2,0,male,1980-07-16
734,2,83,16,83,16,1,0,18,6223,17,0,1,32,male,1991-10-14
735,2,26,7,26,7,NULL,NULL,21,1780,1,1,2,2,male,1998-01-30
736,1,33,14,33,14,10,54,23,2724,3,11,1,1,male,1984-12-07
737,4,117,22,114,22,NULL,NULL,25,5291,0,1,1,22,male,1996-12-04
738,1,34,9,15,8,6,95,27,8504,1,0,2,18,male,1984-01-09
739,7,71,18,68,18,3,1,26,3317,53,0,2,57,male,1968-06-29
740,2,112,26,112,26,14,2,22,11843,79,10,6,118,male,1978-08-11
741,4,43,15,43,15,1,7,28,7298,0,1,1,5,male,1981-11-30
742,5,93,19,93,19,18,15,21,2708,3,5,6,15,male,1982-12-20
743,1,46,19,46,19,3,9,29,14460,0,6,7,30,male,1997-09-07
744,1,75,21,66,21,NULL,NULL,7,4016,142,60,69,37,male,2006-11-03
745,2,123,25,123,25,54,1150,25,8440,301,40,131,118,male,1989-08-28
746,1,35,19,32,19,2,3,28,6009,3,8,6,11,male,1987-06-15
747,7,35,14,35,14,NULL,NULL,16,3289,587,0,16,61,male,1989-07-06
748,4,162,24,154,24,NULL,NULL,29,3533,77,3,90,73,male,1981-05-03
749,1,61,16,61,16,1,0,26,9922,13,1,2,38,male,1990-02-02
750,4,220,19,195,19,NULL,NULL,7,890,77,6,6,8,male,1972-02-26
751,3,35,6,16,6,7,41,10,3202,6,3,11,12,male,1996-05-25
752,4,63,10,61,10,NULL,NULL,19,4277,17,1,11,123,male,1976-07-04
753,2,60,10,38,10,9,28,26,5175,17,0,4,137,male,1989-08-07
754,2,89,17,61,17,NULL,NULL,20,34,20,0,4,0,male,1995-08-25
755,1,104,18,74,15,4,3,19,8401,216,20,30,25,male,2001-11-16
756,2,45,11,39,11,1,0,20,2171,4,0,4,4,male,1995-03-21
757,2,85,17,85,17,NULL,NULL,26,6426,14,4,6,204,male,1995-06-13
758,2,55,15,47,15,29,154,30,16746,0,34,58,34,male,1974-06-09
759,5,52,15,52,15,NULL,NULL,27,11998,116,15,14,120,male,1957-04-26
760,1,47,18,41,18,4,32,16,5337,65,2,20,87,male,1985-04-11
761,5,47,17,47,17,2,1,21,4275,7,1,2,2,female,1977-07-10
762,7,137,17,124,17,35,457,27,5927,58,38,55,81,male,1976-04-14
763,1,40,8,39,8,37,166,24,12223,0,18,11,28,male,1973-12-05
764,1,66,13,21,10,7,16,19,5518,4,0,14,53,male,1987-06-15
765,4,87,20,87,20,2,0,15,11246,60,0,1,48,male,1991-08-13
766,6,171,28,171,28,25,21,15,3261,23,13,35,7,male,1986-12-26
767,1,41,11,41,11,1,0,25,10280,28,5,7,7,male,1999-11-03
768,5,120,16,76,16,NULL,NULL,19,3823,9,1,2,29,male,1989-06-27
769,1,36,13,36,13,7,7,20,3944,24,16,13,136,male,1977-02-21
770,3,32,11,24,6,NULL,NULL,6,4294,6,3,3,5,male,1983-09-01
771,1,29,3,15,3,2,1,14,4069,3,0,10,15,male,1991-01-13
772,1,119,26,90,26,NULL,NULL,22,3482,31,22,28,12,male,1998-04-25
773,1,100,22,76,22,NULL,NULL,5,2517,7,4,1,52,male,1974-07-20
774,1,40,8,40,8,NULL,NULL,4,2703,4,0,1,7,male,1990-02-14
775,1,51,11,21,6,12,18,14,4566,68,8,45,24,female,1983-08-31
776,3,67,18,67,18,2,60,,,19,0,1,3,male,1992-04-04
777,3,207,27,207,27,2,0,,,5,0,5,105,female,1980-04-21
778,2,59,20,59,20,NULL,NULL,,,53,0,10,14,male,1986-05-31
779,3,73,23,73,23,NULL,NULL,,,114,33,31,17,male,1958-06-27
780,1,28,13,28,13,3,24,,,301,1,2,26,female,1994-01-07
781,1,29,11,29,11,2,0,,,1,0,11,0,female,1972-02-28
782,3,45,15,43,15,2,2,,,39,0,14,127,male,1980-04-22
783,6,46,11,46,11,NULL,NULL,,,3,0,29,10,male,1966-07-17
784,4,99,26,99,26,9,2,,,18,5,7,33,male,1978-08-12
785,5,26,11,26,11,NULL,NULL,,,4,1,1,0,male,1980-07-07
786,14,262,27,262,27,NULL,NULL,,,1,1,1,9,female,1959-07-11
787,2,40,13,40,13,NULL,NULL,,,295,0,9,6,male,1987-01-15
788,5,29,14,29,14,NULL,NULL,,,12,20,36,12,male,1998-05-04
789,3,42,13,42,13,NULL,NULL,,,6,2,4,1,male,1996-09-20
790,1,53,8,51,8,NULL,NULL,,,43,3,6,10,male,1990-06-14
791,1,69,20,69,20,NULL,NULL,,,89,0,31,53,male,1985-04-21
792,3,61,23,61,23,NULL,NULL,,,142,3,8,4,male,2006-03-19
793,3,52,14,46,14,NULL,NULL,,,95,0,74,28,male,1988-08-24
794,3,128,22,121,22,NULL,NULL,,,87,0,8,10,male,1982-03-17
795,3,134,23,134,23,NULL,NULL,,,17,0,2,54,male,1984-10-12
796,5,43,8,43,8,1,0,,,5,0,1,1,male,1993-01-20
797,1,125,26,125,26,NULL,NULL,,,15,2,22,6,male,2000-01-03
798,1,106,27,106,27,NULL,NULL,,,110,0,3,24,male,1980-05-30
799,1,26,14,26,14,NULL,NULL,,,2,4,1,2,male,1992-03-05
800,5,72,22,33,10,2,1,,,92,0,73,12,male,1976-10-02
801,3,50,21,46,21,NULL,NULL,,,41,2,3,5,male,1996-10-07
802,2,60,20,60,20,NULL,NULL,,,11,0,1,58,male,1946-07-01
803,8,104,20,82,20,NULL,NULL,,,130,0,52,7,male,1974-04-18
804,1,35,15,35,15,NULL,NULL,,,101,0,52,76,male,1988-10-11
805,5,36,17,36,17,NULL,NULL,,,69,0,17,35,male,1988-10-11
806,2,48,12,48,12,9,5,,,8,0,2,3,male,1990-09-03
807,2,33,11,33,11,NULL,NULL,,,1,0,1,1,male,1991-01-05
808,3,109,16,51,10,NULL,NULL,,,8,0,2,3,male,1983-10-27
809,1,157,15,126,15,NULL,NULL,,,3,0,1,4,male,2000-08-29
810,8,107,28,107,28,NULL,NULL,,,140,0,185,58,male,1940-08-15
811,4,115,19,114,19,NULL,NULL,,,22,3,3,4,female,1980-05-13
812,7,231,29,201,28,2,0,,,10,0,6,1,female,1992-01-01
813,2,139,18,82,15,NULL,NULL,,,28,9,15,1,male,1984-12-24
814,1,32,9,32,9,NULL,NULL,,,6,1,3,8,female,1993-10-02
815,4,104,16,102,16,NULL,NULL,,,6,2,2,8,male,1990-05-21
816,9,237,25,223,25,NULL,NULL,,,11,2,3,2,female,1995-09-03
817,8,143,27,130,27,13,66,,,7,0,1,34,male,1982-07-25
818,5,91,24,91,24,NULL,NULL,,,249,77,19,40,male,1972-04-28
819,3,110,27,110,27,5,7,,,4,0,1,2,male,1982-10-25
820,2,209,8,99,7,NULL,NULL,,,6,0,2,3,male,1986-01-14
821,10,337,30,316,30,3,0,,,164,0,13,145,male,1960-02-02
822,8,63,14,61,14,NULL,NULL,,,1,12,20,11,male,1989-07-07
823,2,82,19,82,19,NULL,NULL,,,79,0,3,54,male,1989-07-01
824,1,37,15,37,15,NULL,NULL,,,277,0,2,42,female,1990-08-08
825,7,90,26,90,26,1,0,,,26,0,1,2,male,1960-03-18
826,2,44,13,44,13,NULL,NULL,,,8,0,1,15,male,1991-04-17
827,1,31,9,31,9,1,1,,,6,0,3,5,female,1993-03-05
828,2,98,21,93,21,NULL,NULL,,,32,0,55,27,male,1984-02-18
829,2,170,26,163,26,NULL,NULL,,,2,0,2,5,male,1985-11-06
830,2,36,13,36,13,NULL,NULL,,,17,0,3,60,male,1993-03-29
831,2,44,16,44,16,NULL,NULL,,,31,3,1,94,male,1992-08-26
832,1,197,22,183,22,3,1,,,1,0,2,29,male,1994-12-12
833,2,81,11,38,9,2,0,,,15,35,24,1,male,1987-10-20
834,1,54,4,50,4,NULL,NULL,,,47,0,2,29,male,1990-06-18
835,1,31,5,31,5,NULL,NULL,,,60,0,4,23,male,1997-10-17
836,4,86,11,86,11,NULL,NULL,,,159,4,2,46,male,1991-03-26
837,2,39,2,33,2,NULL,NULL,,,3,2,1,1,male,1983-02-10
838,1,48,2,26,2,NULL,NULL,,,3,0,1,1,male,1986-11-18
839,2,28,11,28,11,NULL,NULL,,,0,1,2,0,male,1995-07-11
840,1,59,8,59,8,NULL,NULL,,,0,1,2,0,male,2001-09-03
841,1,49,18,49,18,13,97,,,0,7,12,0,female,1987-09-27
